model,split,recall@5,recall@10,recall@50,ndcg@10,mrr,precision@5
TF-IDF Enhanced,validation,0.0753863581630494,0.1398522913954964,0.5237260208868474,0.4097833791984101,0.3411354503607269,0.21172
TF-IDF Enhanced,test,0.0774122313113231,0.1444235492516975,0.5295294156913664,0.4088320054511282,0.3455525779798092,0.2092
Structured Enhanced,validation,0.3594693734739864,0.5039458898051157,0.7046,0.9998862918073071,0.7046,0.59224
Structured Enhanced,test,0.3699504892846168,0.5161106611089162,0.7134,0.9998412264254626,0.7133,0.5971200000000001
Hybrid,validation,0.332036296852466,0.4475519106530861,0.7038189585148584,0.9124466807470352,0.68057,0.5446
Hybrid,test,0.3410246029761019,0.4573185894612654,0.7128333136999269,0.912555035742194,0.6899685714285715,0.5472799999999999
TF-IDF Original,validation,0.0706795032989379,0.1342594367863505,0.5069223226911388,0.4049450017473766,0.3305690575131603,0.20352
TF-IDF Original,test,0.0723522403374986,0.1351324999487926,0.5136782975623263,0.3996424762824968,0.3330329450605561,0.19856
Bi-Encoder,validation,0.049287159384441816,0.09263890314144428,0.3683358989108562,0.37938260711813493,0.27535895326633997,0.15312000000000003
Bi-Encoder,test,0.0492106918935109,0.0937348949487799,0.3658839229806156,0.3793614075549915,0.27783695817862425,0.15184
